Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
ADANIENT,2025-12-30,2720.0,0.0,0.0,283.55,2163.0,2235.5,2025-12-26 09:52,405588
ADANIENT,2025-12-30,2733.95,0.0,0.0,286.2,927.0,2235.5,2025-12-26 09:52,423179
ADANIENT,2025-12-30,2753.35,0.0,0.0,321.55,927.0,2235.5,2025-12-26 09:52,447703
ADANIENT,2025-12-30,2760.0,0.0,0.0,312.15,309.0,2235.5,2025-12-26 09:52,456089
ADANIENT,2025-12-30,2792.1,0.1,81885.0,344.45,927.0,2235.5,2025-12-26 09:52,496705
ADANIENT,2025-12-30,2800.0,0.25,43569.0,565.0,6489.0,2235.5,2025-12-26 09:52,506738
ADANIENT,2025-12-30,2840.0,0.0,0.0,517.0,140286.0,2235.5,2025-12-26 09:52,557528
ADANIGREEN,2025-12-30,840.0,0.0,0.0,0.2,142800.0,1020.5,2025-12-26 09:52,76354
ADANIGREEN,2025-12-30,880.0,139.45,5400.0,0.15,259200.0,1020.5,2025-12-26 09:52,56676
ADANIGREEN,2025-12-30,900.0,124.2,24600.0,0.2,165000.0,1020.5,2025-12-26 09:52,47439
ADANIGREEN,2025-12-30,920.0,94.85,21000.0,0.35,471000.0,1020.5,2025-12-26 09:52,38812
ADANIGREEN,2025-12-30,940.0,75.05,32400.0,0.35,484800.0,1020.5,2025-12-26 09:52,31049
ADANIGREEN,2025-12-30,960.0,56.1,69000.0,0.3,369000.0,1020.5,2025-12-26 09:52,24364
ADANIGREEN,2025-12-30,980.0,44.65,154800.0,0.6,378600.0,1020.5,2025-12-26 09:52,18706
ADANIGREEN,2025-12-30,1000.0,23.6,462600.0,1.95,799800.0,1020.5,2025-12-26 09:52,14406
ADANIGREEN,2025-12-30,1020.0,9.6,608400.0,7.5,560400.0,1020.5,2025-12-26 09:52,12899
ADANIGREEN,2025-12-30,1040.0,4.05,1547400.0,21.35,407400.0,1020.5,2025-12-26 09:52,12957
ADANIGREEN,2025-12-30,1060.0,1.85,1270800.0,41.3,204000.0,1020.5,2025-12-26 09:52,16518
ADANIGREEN,2025-12-30,1080.0,0.7,810000.0,64.9,147600.0,1020.5,2025-12-26 09:52,22664
ADANIGREEN,2025-12-30,1100.0,0.45,1630200.0,84.45,226200.0,1020.5,2025-12-26 09:52,30432
ADANIGREEN,2025-12-30,1120.0,0.35,345600.0,102.3,25200.0,1020.5,2025-12-26 09:52,40976
ADANIGREEN,2025-12-30,1140.0,0.2,262200.0,124.05,12600.0,1020.5,2025-12-26 09:52,53854
ADANIGREEN,2025-12-30,1160.0,0.25,401400.0,141.5,28800.0,1020.5,2025-12-26 09:52,67375
ADANIGREEN,2025-12-30,1180.0,0.1,100800.0,165.25,9600.0,1020.5,2025-12-26 09:52,81511
ADANIGREEN,2025-12-30,1200.0,0.1,644400.0,182.2,364200.0,1020.5,2025-12-26 09:52,96108
ADANIGREEN,2025-12-30,1220.0,0.15,158400.0,171.35,4800.0,1020.5,2025-12-26 09:52,106249
ADANIGREEN,2025-12-30,1240.0,0.1,141000.0,0.0,0.0,1020.5,2025-12-26 09:52,123267
ADANIGREEN,2025-12-30,1280.0,0.3,90600.0,267.0,600.0,1020.5,2025-12-26 09:52,158028
ADANIGREEN,2025-12-30,1320.0,0.15,126600.0,0.0,0.0,1020.5,2025-12-26 09:52,193139
ADANIENSOL,2025-12-30,840.0,152.2,0.0,0.15,42525.0,1004.05,2025-12-26 09:52,19645
ADANIENSOL,2025-12-30,860.0,0.0,0.0,0.65,58050.0,1004.05,2025-12-26 09:52,15584
ADANIENSOL,2025-12-30,880.0,131.05,2025.0,0.3,22275.0,1004.05,2025-12-26 09:52,11635
ADANIENSOL,2025-12-30,890.0,0.0,0.0,0.6,70875.0,1004.05,2025-12-26 09:52,9713
ADANIENSOL,2025-12-30,900.0,91.0,20250.0,0.5,390150.0,1004.05,2025-12-26 09:52,7832
ADANIENSOL,2025-12-30,910.0,68.7,6750.0,0.4,106650.0,1004.05,2025-12-26 09:52,6530
ADANIENSOL,2025-12-30,920.0,78.6,4725.0,0.7,14175.0,1004.05,2025-12-26 09:52,5218
ADANIENSOL,2025-12-30,930.0,0.0,0.0,0.5,95850.0,1004.05,2025-12-26 09:52,3920
ADANIENSOL,2025-12-30,940.0,56.75,33750.0,0.55,153225.0,1004.05,2025-12-26 09:52,2677
ADANIENSOL,2025-12-30,950.0,48.15,18225.0,0.4,195750.0,1004.05,2025-12-26 09:52,1808
ADANIENSOL,2025-12-30,960.0,38.4,135000.0,0.45,112050.0,1004.05,2025-12-26 09:52,1050
ADANIENSOL,2025-12-30,970.0,35.1,46575.0,0.6,239625.0,1004.05,2025-12-26 09:52,973
ADANIENSOL,2025-12-30,980.0,19.45,60075.0,1.35,145800.0,1004.05,2025-12-26 09:52,818
ADANIENSOL,2025-12-30,990.0,16.9,101250.0,2.75,79650.0,1004.05,2025-12-26 09:52,816
ADANIENSOL,2025-12-30,1000.0,10.15,498150.0,5.95,182250.0,1004.05,2025-12-26 09:52,1048
ADANIENSOL,2025-12-30,1010.0,6.0,403650.0,16.6,35775.0,1004.05,2025-12-26 09:52,2208
ADANIENSOL,2025-12-30,1020.0,3.3,269325.0,22.75,33075.0,1004.05,2025-12-26 09:52,3593
ADANIENSOL,2025-12-30,1030.0,1.65,186300.0,29.05,27000.0,1004.05,2025-12-26 09:52,5111
ADANIENSOL,2025-12-30,1040.0,0.8,247725.0,42.65,19575.0,1004.05,2025-12-26 09:52,6781
ADANIENSOL,2025-12-30,1050.0,0.4,661500.0,54.45,17550.0,1004.05,2025-12-26 09:52,8703
ADANIENSOL,2025-12-30,1060.0,0.5,129600.0,60.5,11475.0,1004.05,2025-12-26 09:52,11298
ADANIENSOL,2025-12-30,1070.0,0.35,108675.0,70.7,6075.0,1004.05,2025-12-26 09:52,14040
ADANIENSOL,2025-12-30,1080.0,0.3,95850.0,0.0,0.0,1004.05,2025-12-26 09:52,16921
ADANIENSOL,2025-12-30,1090.0,0.9,134325.0,0.0,0.0,1004.05,2025-12-26 09:52,19940
ADANIENSOL,2025-12-30,1100.0,0.25,438750.0,109.1,11475.0,1004.05,2025-12-26 09:52,23102
ADANIENSOL,2025-12-30,1120.0,0.45,78975.0,113.25,2025.0,1004.05,2025-12-26 09:52,30189
ADANIENSOL,2025-12-30,1140.0,0.1,155250.0,0.0,0.0,1004.05,2025-12-26 09:52,37532
ADANIPORTS,2025-12-30,1240.0,0.0,0.0,0.15,47025.0,1494.0,2025-12-26 09:52,73833
ADANIPORTS,2025-12-30,1280.0,0.0,0.0,0.3,50350.0,1494.0,2025-12-26 09:52,59284
ADANIPORTS,2025-12-30,1300.0,195.0,2850.0,0.15,59375.0,1494.0,2025-12-26 09:52,52109
ADANIPORTS,2025-12-30,1320.0,0.0,0.0,0.3,10450.0,1494.0,2025-12-26 09:52,45115
ADANIPORTS,2025-12-30,1340.0,160.0,1425.0,0.15,206150.0,1494.0,2025-12-26 09:52,38086
ADANIPORTS,2025-12-30,1360.0,138.95,2375.0,0.4,267900.0,1494.0,2025-12-26 09:52,31493
ADANIPORTS,2025-12-30,1380.0,126.3,12825.0,0.35,106400.0,1494.0,2025-12-26 09:52,25443
ADANIPORTS,2025-12-30,1400.0,95.0,59850.0,0.4,267900.0,1494.0,2025-12-26 09:52,19767
ADANIPORTS,2025-12-30,1420.0,77.7,31350.0,0.35,111625.0,1494.0,2025-12-26 09:52,15147
ADANIPORTS,2025-12-30,1440.0,56.9,188575.0,0.6,465975.0,1494.0,2025-12-26 09:52,10494
ADANIPORTS,2025-12-30,1460.0,36.05,43700.0,1.35,335350.0,1494.0,2025-12-26 09:52,7955
ADANIPORTS,2025-12-30,1480.0,18.8,220875.0,4.35,413725.0,1494.0,2025-12-26 09:52,5242
ADANIPORTS,2025-12-30,1500.0,7.95,1000825.0,13.5,642675.0,1494.0,2025-12-26 09:52,3922
ADANIPORTS,2025-12-30,1520.0,3.6,1862950.0,29.1,335825.0,1494.0,2025-12-26 09:52,5580
ADANIPORTS,2025-12-30,1540.0,1.8,959025.0,47.25,149625.0,1494.0,2025-12-26 09:52,11402
ADANIPORTS,2025-12-30,1560.0,0.95,774250.0,66.2,65550.0,1494.0,2025-12-26 09:52,19214
ADANIPORTS,2025-12-30,1580.0,0.65,363375.0,86.6,23275.0,1494.0,2025-12-26 09:52,28879
ADANIPORTS,2025-12-30,1600.0,0.5,1747050.0,105.0,84075.0,1494.0,2025-12-26 09:52,39499
ADANIPORTS,2025-12-30,1620.0,0.4,196650.0,104.2,37525.0,1494.0,2025-12-26 09:52,53165
ADANIPORTS,2025-12-30,1640.0,0.3,266950.0,144.0,1425.0,1494.0,2025-12-26 09:52,67711
ADANIPORTS,2025-12-30,1660.0,0.25,230375.0,0.0,0.0,1494.0,2025-12-26 09:52,83164
ADANIPORTS,2025-12-30,1680.0,0.25,184300.0,187.55,475.0,1494.0,2025-12-26 09:52,99097
ADANIPORTS,2025-12-30,1720.0,0.2,215175.0,227.75,1425.0,1494.0,2025-12-26 09:52,131685
ALKEM,2025-12-30,4700.0,0.0,0.0,0.0,0.0,5532.0,2025-12-26 09:52,13638
ALKEM,2025-12-30,4800.0,796.95,375.0,2.9,500.0,5532.0,2025-12-26 09:52,11825
ALKEM,2025-12-30,4900.0,0.0,0.0,1.3,375.0,5532.0,2025-12-26 09:52,10049
ALKEM,2025-12-30,4950.0,0.0,0.0,0.0,0.0,5532.0,2025-12-26 09:52,9149
ALKEM,2025-12-30,5000.0,720.0,125.0,3.8,375.0,5532.0,2025-12-26 09:52,8248
ALKEM,2025-12-30,5050.0,0.0,0.0,1.35,6500.0,5532.0,2025-12-26 09:52,7359
ALKEM,2025-12-30,5100.0,0.0,0.0,3.5,13125.0,5532.0,2025-12-26 09:52,6492
