Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Stock_LTP,Max_Pain
ADANIENT,2025-12-30,2423.7,1.4,213210.0,187.55,228042.0,2025-12-25 01:55,2222.7,96897
ADANIENT,2025-12-30,2440.0,1.15,286443.0,213.4,42642.0,2025-12-25 01:55,2222.7,107879
ADANIENT,2025-12-30,2443.1,1.2,32136.0,0.0,0.0,2025-12-25 01:55,2222.7,110000
ADANIENT,2025-12-30,2460.0,1.05,216918.0,232.0,65199.0,2025-12-25 01:55,2222.7,126404
ADANIENT,2025-12-30,2462.5,1.0,56856.0,235.0,29046.0,2025-12-25 01:55,2222.7,127411
ADANIENT,2025-12-30,2480.0,1.05,46968.0,225.5,6180.0,2025-12-25 01:55,2222.7,144360
ADANIENT,2025-12-30,2481.9,0.95,61182.0,211.7,41715.0,2025-12-25 01:55,2222.7,146150
ADANIENT,2025-12-30,2500.0,0.9,906915.0,273.05,247509.0,2025-12-25 01:55,2222.7,163785
ADANIENT,2025-12-30,2501.25,0.85,68598.0,160.0,7107.0,2025-12-25 01:55,2222.7,158532
ADANIENT,2025-12-30,2520.0,0.7,36153.0,271.3,16068.0,2025-12-25 01:55,2222.7,179908
ADANIENT,2025-12-30,2520.65,0.6,160062.0,277.7,63654.0,2025-12-25 01:55,2222.7,180223
ADANIENT,2025-12-30,2540.0,0.8,31827.0,0.0,0.0,2025-12-25 01:55,2222.7,201171
ADANIENT,2025-12-30,2540.05,0.65,62109.0,154.3,309.0,2025-12-25 01:55,2222.7,201232
ADANIENT,2025-12-30,2559.45,0.0,0.0,321.0,1854.0,2025-12-25 01:55,2222.7,224179
ADANIENT,2025-12-30,2560.0,0.65,90228.0,153.0,309.0,2025-12-25 01:55,2222.7,224770
ADANIENT,2025-12-30,2578.85,0.0,0.0,340.0,2472.0,2025-12-25 01:55,2222.7,247242
ADANIENT,2025-12-30,2598.2,0.35,27501.0,198.5,3399.0,2025-12-25 01:55,2222.7,270230
ADANIENT,2025-12-30,2600.0,0.5,218463.0,347.3,64581.0,2025-12-25 01:55,2222.7,272315
ADANIENT,2025-12-30,2617.6,0.5,108150.0,365.0,41406.0,2025-12-25 01:55,2222.7,291621
ADANIENT,2025-12-30,2620.0,0.0,0.0,266.6,1236.0,2025-12-25 01:55,2222.7,293087
ADANIENT,2025-12-30,2640.0,0.7,35844.0,400.0,618.0,2025-12-25 01:55,2222.7,317831
ADANIENT,2025-12-30,2660.0,0.0,0.0,225.25,309.0,2025-12-25 01:55,2222.7,342658
ADANIENT,2025-12-30,2680.0,0.65,29046.0,0.0,0.0,2025-12-25 01:55,2222.7,367501
ADANIENT,2025-12-30,2700.0,0.3,125454.0,455.0,10506.0,2025-12-25 01:55,2222.7,392410
ADANIENT,2025-12-30,2714.55,0.2,102279.0,460.0,186327.0,2025-12-25 01:55,2222.7,410254
ADANIENT,2025-12-30,2720.0,0.0,0.0,283.55,2163.0,2025-12-25 01:55,2222.7,408704
ADANIENT,2025-12-30,2733.95,0.0,0.0,286.2,927.0,2025-12-25 01:55,2222.7,426611
ADANIENT,2025-12-30,2753.35,0.0,0.0,321.55,927.0,2025-12-25 01:55,2222.7,451575
ADANIENT,2025-12-30,2760.0,0.0,0.0,312.15,309.0,2025-12-25 01:55,2222.7,460112
ADANIENT,2025-12-30,2792.1,0.2,82194.0,344.45,927.0,2025-12-25 01:55,2222.7,501456
ADANIENT,2025-12-30,2800.0,0.25,43569.0,565.0,6489.0,2025-12-25 01:55,2222.7,511669
ADANIENT,2025-12-30,2840.0,0.0,0.0,517.0,140286.0,2025-12-25 01:55,2222.7,563368
ADANIGREEN,2025-12-30,840.0,0.0,0.0,0.2,143400.0,2025-12-25 01:55,1015.0,77144
ADANIGREEN,2025-12-30,880.0,139.45,5400.0,0.25,263400.0,2025-12-25 01:55,1015.0,57397
ADANIGREEN,2025-12-30,900.0,124.2,24600.0,0.35,165600.0,2025-12-25 01:55,1015.0,48131
ADANIGREEN,2025-12-30,920.0,94.85,21000.0,0.35,477000.0,2025-12-25 01:55,1015.0,39476
ADANIGREEN,2025-12-30,940.0,77.75,31800.0,0.5,504000.0,2025-12-25 01:55,1015.0,31700
ADANIGREEN,2025-12-30,960.0,54.1,70800.0,0.65,373200.0,2025-12-25 01:55,1015.0,25035
ADANIGREEN,2025-12-30,980.0,36.85,153600.0,0.8,365400.0,2025-12-25 01:55,1015.0,19395
ADANIGREEN,2025-12-30,1000.0,18.6,430200.0,3.6,778800.0,2025-12-25 01:55,1015.0,14971
ADANIGREEN,2025-12-30,1020.0,7.2,679800.0,12.05,570000.0,2025-12-25 01:55,1015.0,12948
ADANIGREEN,2025-12-30,1040.0,3.1,1545000.0,27.1,411600.0,2025-12-25 01:55,1015.0,12708
ADANIGREEN,2025-12-30,1060.0,1.6,1408200.0,47.7,204600.0,2025-12-25 01:55,1015.0,15941
ADANIGREEN,2025-12-30,1080.0,0.75,816600.0,66.2,148200.0,2025-12-25 01:55,1015.0,22286
ADANIGREEN,2025-12-30,1100.0,0.5,1686600.0,84.45,226200.0,2025-12-25 01:55,1015.0,30392
ADANIGREEN,2025-12-30,1120.0,0.35,372000.0,102.3,25800.0,2025-12-25 01:55,1015.0,41416
ADANIGREEN,2025-12-30,1140.0,0.3,273600.0,120.75,13800.0,2025-12-25 01:55,1015.0,54812
ADANIGREEN,2025-12-30,1160.0,0.3,388200.0,141.5,28800.0,2025-12-25 01:55,1015.0,68875
ADANIGREEN,2025-12-30,1180.0,0.2,99600.0,165.25,10200.0,2025-12-25 01:55,1015.0,83534
ADANIGREEN,2025-12-30,1200.0,0.15,662400.0,182.2,364200.0,2025-12-25 01:55,1015.0,98642
ADANIGREEN,2025-12-30,1220.0,0.05,158400.0,171.35,4800.0,2025-12-25 01:55,1015.0,109344
ADANIGREEN,2025-12-30,1240.0,0.1,145800.0,0.0,0.0,2025-12-25 01:55,1015.0,126917
ADANIGREEN,2025-12-30,1280.0,0.45,95400.0,267.0,600.0,2025-12-25 01:55,1015.0,162811
ADANIGREEN,2025-12-30,1320.0,0.15,128400.0,0.0,0.0,2025-12-25 01:55,1015.0,199075
ADANIENSOL,2025-12-30,840.0,152.2,675.0,0.2,43200.0,2025-12-25 01:55,996.55,20488
ADANIENSOL,2025-12-30,860.0,0.0,0.0,0.65,58725.0,2025-12-25 01:55,996.55,16355
ADANIENSOL,2025-12-30,880.0,131.05,2025.0,0.3,25650.0,2025-12-25 01:55,996.55,12327
ADANIENSOL,2025-12-30,890.0,0.0,0.0,0.6,70875.0,2025-12-25 01:55,996.55,10369
ADANIENSOL,2025-12-30,900.0,91.0,20925.0,0.5,392175.0,2025-12-25 01:55,996.55,8451
ADANIENSOL,2025-12-30,910.0,68.7,6750.0,0.4,118800.0,2025-12-25 01:55,996.55,7121
ADANIENSOL,2025-12-30,920.0,78.6,4725.0,0.7,16200.0,2025-12-25 01:55,996.55,5788
ADANIENSOL,2025-12-30,930.0,0.0,0.0,0.55,95850.0,2025-12-25 01:55,996.55,4470
ADANIENSOL,2025-12-30,940.0,56.75,34425.0,0.55,154575.0,2025-12-25 01:55,996.55,3206
ADANIENSOL,2025-12-30,950.0,47.25,18900.0,0.65,193725.0,2025-12-25 01:55,996.55,2324
ADANIENSOL,2025-12-30,960.0,38.4,134325.0,0.85,124875.0,2025-12-25 01:55,996.55,1544
ADANIENSOL,2025-12-30,970.0,29.15,45900.0,1.3,240300.0,2025-12-25 01:55,996.55,1452
ADANIENSOL,2025-12-30,980.0,18.3,60750.0,2.85,149175.0,2025-12-25 01:55,996.55,1243
ADANIENSOL,2025-12-30,990.0,11.55,104625.0,6.0,81000.0,2025-12-25 01:55,996.55,1210
ADANIENSOL,2025-12-30,1000.0,5.15,516375.0,11.25,182250.0,2025-12-25 01:55,996.55,1367
ADANIENSOL,2025-12-30,1010.0,3.25,383400.0,17.0,36450.0,2025-12-25 01:55,996.55,2211
ADANIENSOL,2025-12-30,1020.0,2.05,326025.0,27.3,33075.0,2025-12-25 01:55,996.55,3477
ADANIENSOL,2025-12-30,1030.0,1.2,209250.0,42.05,27000.0,2025-12-25 01:55,996.55,5015
ADANIENSOL,2025-12-30,1040.0,0.75,251100.0,42.65,19575.0,2025-12-25 01:55,996.55,6725
ADANIENSOL,2025-12-30,1050.0,0.7,669600.0,54.45,19575.0,2025-12-25 01:55,996.55,8729
ADANIENSOL,2025-12-30,1060.0,0.6,132300.0,60.5,11475.0,2025-12-25 01:55,996.55,11427
ADANIENSOL,2025-12-30,1070.0,0.7,115425.0,70.7,6075.0,2025-12-25 01:55,996.55,14268
ADANIENSOL,2025-12-30,1080.0,0.45,72225.0,0.0,0.0,2025-12-25 01:55,996.55,17256
ADANIENSOL,2025-12-30,1090.0,0.9,134325.0,0.0,0.0,2025-12-25 01:55,996.55,20355
ADANIENSOL,2025-12-30,1100.0,0.3,447525.0,109.1,12150.0,2025-12-25 01:55,996.55,23597
ADANIENSOL,2025-12-30,1120.0,0.45,80325.0,113.25,2025.0,2025-12-25 01:55,996.55,30857
ADANIENSOL,2025-12-30,1140.0,0.2,164700.0,0.0,0.0,2025-12-25 01:55,996.55,38381
ADANIPORTS,2025-12-30,1240.0,0.0,0.0,0.15,47025.0,2025-12-25 01:55,1494.3,73677
ADANIPORTS,2025-12-30,1280.0,0.0,0.0,0.3,50350.0,2025-12-25 01:55,1494.3,59071
ADANIPORTS,2025-12-30,1300.0,195.0,2850.0,0.15,59850.0,2025-12-25 01:55,1494.3,51867
ADANIPORTS,2025-12-30,1320.0,0.0,0.0,0.3,10925.0,2025-12-25 01:55,1494.3,44845
ADANIPORTS,2025-12-30,1340.0,160.0,1425.0,0.15,206150.0,2025-12-25 01:55,1494.3,37790
ADANIPORTS,2025-12-30,1360.0,138.95,2375.0,0.35,266000.0,2025-12-25 01:55,1494.3,31171
ADANIPORTS,2025-12-30,1380.0,126.3,13300.0,0.35,110675.0,2025-12-25 01:55,1494.3,25091
ADANIPORTS,2025-12-30,1400.0,95.0,60325.0,0.4,269325.0,2025-12-25 01:55,1494.3,19401
ADANIPORTS,2025-12-30,1420.0,77.7,31350.0,0.55,114475.0,2025-12-25 01:55,1494.3,14767
ADANIPORTS,2025-12-30,1440.0,57.85,189050.0,0.75,476425.0,2025-12-25 01:55,1494.3,10101
ADANIPORTS,2025-12-30,1460.0,37.85,43700.0,1.55,327750.0,2025-12-25 01:55,1494.3,7586
ADANIPORTS,2025-12-30,1480.0,20.6,220400.0,4.5,406600.0,2025-12-25 01:55,1494.3,4870
ADANIPORTS,2025-12-30,1500.0,9.2,1001300.0,12.6,655500.0,2025-12-25 01:55,1494.3,3565
ADANIPORTS,2025-12-30,1520.0,4.2,1884325.0,27.35,334875.0,2025-12-25 01:55,1494.3,5398
ADANIPORTS,2025-12-30,1540.0,1.95,1135250.0,45.2,148675.0,2025-12-25 01:55,1494.3,11450
ADANIPORTS,2025-12-30,1560.0,1.05,769025.0,66.2,65075.0,2025-12-25 01:55,1494.3,19743
ADANIPORTS,2025-12-30,1580.0,0.75,366225.0,86.6,23275.0,2025-12-25 01:55,1494.3,29805
ADANIPORTS,2025-12-30,1600.0,0.7,1773650.0,105.05,84550.0,2025-12-25 01:55,1494.3,40822
ADANIPORTS,2025-12-30,1620.0,0.55,197600.0,104.2,37525.0,2025-12-25 01:55,1494.3,54965
ADANIPORTS,2025-12-30,1640.0,0.35,270750.0,144.0,1425.0,2025-12-25 01:55,1494.3,69963
ADANIPORTS,2025-12-30,1660.0,0.15,234650.0,0.0,0.0,2025-12-25 01:55,1494.3,85874
ADANIPORTS,2025-12-30,1680.0,0.3,183825.0,187.55,475.0,2025-12-25 01:55,1494.3,102268
ADANIPORTS,2025-12-30,1720.0,0.25,216125.0,227.75,1425.0,2025-12-25 01:55,1494.3,135785
ALKEM,2025-12-30,4700.0,0.0,0.0,0.0,0.0,2025-12-25 01:55,5566.0,13843
ALKEM,2025-12-30,4800.0,796.95,375.0,2.9,500.0,2025-12-25 01:55,5566.0,12002
ALKEM,2025-12-30,4900.0,0.0,0.0,1.3,375.0,2025-12-25 01:55,5566.0,10199
ALKEM,2025-12-30,4950.0,0.0,0.0,0.0,0.0,2025-12-25 01:55,5566.0,9285
ALKEM,2025-12-30,5000.0,720.0,125.0,3.8,375.0,2025-12-25 01:55,5566.0,8370
ALKEM,2025-12-30,5050.0,0.0,0.0,1.35,6625.0,2025-12-25 01:55,5566.0,7467
ALKEM,2025-12-30,5100.0,0.0,0.0,3.5,13125.0,2025-12-25 01:55,5566.0,6588
ALKEM,2025-12-30,5150.0,0.0,0.0,3.9,4750.0,2025-12-25 01:55,5566.0,5770
