Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Max_Pain
ADANIENT,2025-12-30,2753.35,0.0,0.0,321.55,927.0,2025-12-23 21:07,457187
ADANIENT,2025-12-30,2760.0,0.0,0.0,312.15,309.0,2025-12-23 21:07,465874
ADANIENT,2025-12-30,2792.1,0.35,83430.0,344.45,927.0,2025-12-23 21:07,507941
ADANIENT,2025-12-30,2800.0,0.4,46350.0,580.0,6489.0,2025-12-23 21:07,518334
ADANIENT,2025-12-30,2840.0,0.0,0.0,517.0,140286.0,2025-12-23 21:07,570941
ADANIGREEN,2025-12-30,840.0,0.0,0.0,0.45,145800.0,2025-12-23 21:07,85213
ADANIGREEN,2025-12-30,880.0,139.45,5400.0,0.55,270000.0,2025-12-23 21:07,62803
ADANIGREEN,2025-12-30,900.0,124.2,24600.0,0.8,381000.0,2025-12-23 21:07,52212
ADANIGREEN,2025-12-30,920.0,124.35,21000.0,1.3,459600.0,2025-12-23 21:07,42647
ADANIGREEN,2025-12-30,940.0,76.3,34200.0,1.05,524400.0,2025-12-23 21:07,33969
ADANIGREEN,2025-12-30,960.0,58.5,71400.0,1.4,390600.0,2025-12-23 21:07,26414
ADANIGREEN,2025-12-30,980.0,39.45,157200.0,2.7,411600.0,2025-12-23 21:07,19939
ADANIGREEN,2025-12-30,1000.0,23.6,514200.0,6.0,933000.0,2025-12-23 21:07,14748
ADANIGREEN,2025-12-30,1020.0,12.1,748800.0,14.5,660000.0,2025-12-23 21:07,12596
ADANIGREEN,2025-12-30,1040.0,5.75,1543200.0,28.7,423600.0,2025-12-23 21:07,12557
ADANIGREEN,2025-12-30,1060.0,2.9,1068000.0,45.85,261600.0,2025-12-23 21:07,16175
ADANIGREEN,2025-12-30,1080.0,1.5,859200.0,64.55,154800.0,2025-12-23 21:07,21890
ADANIGREEN,2025-12-30,1100.0,0.95,1822200.0,85.2,250200.0,2025-12-23 21:07,29652
ADANIGREEN,2025-12-30,1120.0,0.65,441000.0,97.6,28800.0,2025-12-23 21:07,40471
ADANIGREEN,2025-12-30,1140.0,0.55,315600.0,117.15,14400.0,2025-12-23 21:07,53936
ADANIGREEN,2025-12-30,1160.0,0.4,404400.0,141.45,28800.0,2025-12-23 21:07,68162
ADANIGREEN,2025-12-30,1180.0,0.2,104400.0,161.75,10200.0,2025-12-23 21:07,83014
ADANIGREEN,2025-12-30,1200.0,0.15,705600.0,180.65,393000.0,2025-12-23 21:07,98324
ADANIGREEN,2025-12-30,1220.0,0.15,162600.0,171.35,4800.0,2025-12-23 21:07,108905
ADANIGREEN,2025-12-30,1240.0,0.1,148800.0,0.0,0.0,2025-12-23 21:07,126830
ADANIGREEN,2025-12-30,1280.0,0.2,96600.0,267.0,600.0,2025-12-23 21:07,163436
ADANIGREEN,2025-12-30,1320.0,0.15,126600.0,0.0,0.0,2025-12-23 21:07,200416
ADANIENSOL,2025-12-30,840.0,175.4,1350.0,0.2,43200.0,2025-12-23 21:07,21870
ADANIENSOL,2025-12-30,860.0,0.0,0.0,0.25,59400.0,2025-12-23 21:07,17335
ADANIENSOL,2025-12-30,880.0,131.05,2025.0,0.65,38475.0,2025-12-23 21:07,12895
ADANIENSOL,2025-12-30,890.0,0.0,0.0,0.6,72225.0,2025-12-23 21:07,10740
ADANIENSOL,2025-12-30,900.0,99.15,20925.0,0.7,402300.0,2025-12-23 21:07,8629
ADANIENSOL,2025-12-30,910.0,68.7,6750.0,0.75,118800.0,2025-12-23 21:07,7125
ADANIENSOL,2025-12-30,920.0,75.05,5400.0,0.7,28350.0,2025-12-23 21:07,5604
ADANIENSOL,2025-12-30,930.0,0.0,0.0,0.8,103275.0,2025-12-23 21:07,4119
ADANIENSOL,2025-12-30,940.0,55.35,35775.0,0.95,297000.0,2025-12-23 21:07,2689
ADANIENSOL,2025-12-30,950.0,45.35,24300.0,1.35,213975.0,2025-12-23 21:07,1771
ADANIENSOL,2025-12-30,960.0,35.75,136350.0,2.1,124200.0,2025-12-23 21:07,1003
ADANIENSOL,2025-12-30,970.0,27.35,55350.0,3.7,250425.0,2025-12-23 21:07,875
ADANIENSOL,2025-12-30,980.0,19.85,58725.0,5.9,144450.0,2025-12-23 21:07,650
ADANIENSOL,2025-12-30,990.0,13.8,130950.0,9.55,83025.0,2025-12-23 21:07,601
ADANIENSOL,2025-12-30,1000.0,9.1,509625.0,15.3,155250.0,2025-12-23 21:07,836
ADANIENSOL,2025-12-30,1010.0,5.75,487350.0,21.75,37800.0,2025-12-23 21:07,1861
ADANIENSOL,2025-12-30,1020.0,3.8,306450.0,29.05,43200.0,2025-12-23 21:07,3382
ADANIENSOL,2025-12-30,1030.0,2.5,239625.0,42.05,25650.0,2025-12-23 21:07,5047
ADANIENSOL,2025-12-30,1040.0,1.55,259200.0,63.4,27000.0,2025-12-23 21:07,6937
ADANIENSOL,2025-12-30,1050.0,1.15,660825.0,47.4,20250.0,2025-12-23 21:07,9031
ADANIENSOL,2025-12-30,1060.0,0.9,141075.0,68.0,12825.0,2025-12-23 21:07,11917
ADANIENSOL,2025-12-30,1070.0,0.9,129600.0,72.25,6075.0,2025-12-23 21:07,14902
ADANIENSOL,2025-12-30,1080.0,0.75,66825.0,0.0,0.0,2025-12-23 21:07,18065
ADANIENSOL,2025-12-30,1090.0,0.9,134325.0,0.0,0.0,2025-12-23 21:07,21333
ADANIENSOL,2025-12-30,1100.0,0.6,453600.0,86.65,14175.0,2025-12-23 21:07,24741
ADANIENSOL,2025-12-30,1120.0,0.4,78300.0,113.25,2025.0,2025-12-23 21:07,32375
ADANIENSOL,2025-12-30,1140.0,0.5,187650.0,0.0,0.0,2025-12-23 21:07,40244
ADANIPORTS,2025-12-30,1240.0,0.0,0.0,0.15,47975.0,2025-12-23 21:07,80658
ADANIPORTS,2025-12-30,1280.0,0.0,0.0,0.25,52250.0,2025-12-23 21:07,64540
ADANIPORTS,2025-12-30,1300.0,208.0,2850.0,0.3,61750.0,2025-12-23 21:07,56584
ADANIPORTS,2025-12-30,1320.0,0.0,0.0,0.45,11400.0,2025-12-23 21:07,48817
ADANIPORTS,2025-12-30,1340.0,154.7,1425.0,0.3,209950.0,2025-12-23 21:07,41014
ADANIPORTS,2025-12-30,1360.0,138.95,2375.0,0.95,284525.0,2025-12-23 21:07,33650
ADANIPORTS,2025-12-30,1380.0,142.0,13300.0,0.6,115900.0,2025-12-23 21:07,26850
ADANIPORTS,2025-12-30,1400.0,94.75,68875.0,1.05,309700.0,2025-12-23 21:07,20484
ADANIPORTS,2025-12-30,1420.0,89.6,33725.0,1.0,131100.0,2025-12-23 21:07,15314
ADANIPORTS,2025-12-30,1440.0,56.0,204250.0,1.65,512525.0,2025-12-23 21:07,10143
ADANIPORTS,2025-12-30,1460.0,38.1,63175.0,3.75,350550.0,2025-12-23 21:07,7175
ADANIPORTS,2025-12-30,1480.0,23.05,266000.0,8.3,417525.0,2025-12-23 21:07,4085
ADANIPORTS,2025-12-30,1500.0,12.25,1386050.0,17.5,765225.0,2025-12-23 21:07,2519
ADANIPORTS,2025-12-30,1520.0,6.3,1765100.0,31.9,408025.0,2025-12-23 21:07,5347
ADANIPORTS,2025-12-30,1540.0,3.3,1124325.0,48.2,165775.0,2025-12-23 21:07,11974
ADANIPORTS,2025-12-30,1560.0,1.9,837900.0,60.35,77900.0,2025-12-23 21:07,20943
ADANIPORTS,2025-12-30,1580.0,1.05,441275.0,79.05,23750.0,2025-12-23 21:07,31860
ADANIPORTS,2025-12-30,1600.0,0.95,1750375.0,98.75,90725.0,2025-12-23 21:07,43876
ADANIPORTS,2025-12-30,1620.0,0.85,253650.0,104.2,37525.0,2025-12-23 21:07,58987
ADANIPORTS,2025-12-30,1640.0,0.65,346275.0,137.8,1425.0,2025-12-23 21:07,75040
ADANIPORTS,2025-12-30,1660.0,0.55,209475.0,0.0,0.0,2025-12-23 21:07,92161
ADANIPORTS,2025-12-30,1680.0,0.4,182400.0,187.55,475.0,2025-12-23 21:07,109710
ADANIPORTS,2025-12-30,1720.0,0.35,219450.0,227.75,1425.0,2025-12-23 21:07,145514
ALKEM,2025-12-30,4700.0,0.0,0.0,0.0,0.0,2025-12-23 21:07,14577
ALKEM,2025-12-30,4800.0,796.95,375.0,2.9,500.0,2025-12-23 21:07,12615
ALKEM,2025-12-30,4900.0,0.0,0.0,1.3,375.0,2025-12-23 21:07,10691
ALKEM,2025-12-30,4950.0,0.0,0.0,0.0,0.0,2025-12-23 21:07,9716
ALKEM,2025-12-30,5000.0,720.0,125.0,3.8,375.0,2025-12-23 21:07,8741
ALKEM,2025-12-30,5050.0,0.0,0.0,2.75,7625.0,2025-12-23 21:07,7777
ALKEM,2025-12-30,5100.0,0.0,0.0,4.5,12875.0,2025-12-23 21:07,6841
ALKEM,2025-12-30,5150.0,0.0,0.0,3.95,4750.0,2025-12-23 21:07,5965
ALKEM,2025-12-30,5200.0,0.0,0.0,3.95,9500.0,2025-12-23 21:07,5117
ALKEM,2025-12-30,5250.0,0.0,0.0,4.0,8125.0,2025-12-23 21:07,4314
ALKEM,2025-12-30,5300.0,472.75,125.0,4.3,11375.0,2025-12-23 21:07,3553
ALKEM,2025-12-30,5350.0,226.25,625.0,9.2,4000.0,2025-12-23 21:07,2853
ALKEM,2025-12-30,5400.0,0.0,0.0,6.55,11250.0,2025-12-23 21:07,2186
ALKEM,2025-12-30,5450.0,209.3,125.0,8.55,24500.0,2025-12-23 21:07,1558
ALKEM,2025-12-30,5500.0,115.9,2000.0,14.35,31250.0,2025-12-23 21:07,1041
ALKEM,2025-12-30,5550.0,82.7,3000.0,27.0,11375.0,2025-12-23 21:07,688
ALKEM,2025-12-30,5600.0,47.15,32375.0,48.0,10750.0,2025-12-23 21:07,422
ALKEM,2025-12-30,5650.0,27.5,17125.0,76.0,9875.0,2025-12-23 21:07,478
ALKEM,2025-12-30,5700.0,15.8,41250.0,115.65,9375.0,2025-12-23 21:07,541
ALKEM,2025-12-30,5750.0,9.7,10750.0,222.9,8750.0,2025-12-23 21:07,841
ALKEM,2025-12-30,5800.0,6.0,55500.0,282.45,14875.0,2025-12-23 21:07,1098
ALKEM,2025-12-30,5850.0,4.75,8750.0,257.1,1500.0,2025-12-23 21:07,1504
ALKEM,2025-12-30,5900.0,3.75,26000.0,224.45,250.0,2025-12-23 21:07,2314
ALKEM,2025-12-30,5950.0,0.0,0.0,304.0,375.0,2025-12-23 21:07,3294
ALKEM,2025-12-30,6000.0,2.65,34125.0,350.75,250.0,2025-12-23 21:07,4260
ALKEM,2025-12-30,6050.0,2.4,3875.0,420.35,375.0,2025-12-23 21:07,5410
ALKEM,2025-12-30,6100.0,2.5,24750.0,470.35,375.0,2025-12-23 21:07,6566
ALKEM,2025-12-30,6150.0,3.3,7375.0,574.8,375.0,2025-12-23 21:07,7850
ALKEM,2025-12-30,6200.0,1.7,4875.0,494.7,125.0,2025-12-23 21:07,9166
ALKEM,2025-12-30,6250.0,2.95,2750.0,614.75,0.0,2025-12-23 21:07,10521
ALKEM,2025-12-30,6300.0,1.5,1125.0,0.0,0.0,2025-12-23 21:07,11896
ALKEM,2025-12-30,6400.0,2.65,250.0,804.05,375.0,2025-12-23 21:07,14654
ALKEM,2025-12-30,6500.0,2.0,1625.0,904.25,750.0,2025-12-23 21:07,17389
