time,stock,atm_diff
10:23,LICHSGFIN,
10:23,LICI,
10:23,LODHA,
10:23,LT,
10:23,LTF,
10:23,LTIM,
10:23,LUPIN,
10:23,M&M,
10:23,MANAPPURAM,
10:23,MANKIND,
10:23,MARICO,
10:23,MARUTI,
10:23,MAXHEALTH,
10:23,MAZDOCK,
10:23,MCX,
10:23,MFSL,
10:23,MOTHERSON,
10:23,MPHASIS,
10:23,MUTHOOTFIN,
10:23,NATIONALUM,
10:23,NAUKRI,
10:23,NBCC,
10:23,NESTLEIND,
10:23,NHPC,
10:23,NMDC,
10:23,NTPC,
10:23,NUVAMA,
10:23,NYKAA,
10:23,OBEROIRLTY,
10:23,OFSS,
10:23,OIL,
10:23,ONGC,
10:23,PAGEIND,
10:23,PATANJALI,
10:23,PAYTM,
10:23,PERSISTENT,
10:23,PETRONET,
10:23,PFC,
10:23,PGEL,
10:23,PHOENIXLTD,
10:23,PIDILITIND,
10:23,PIIND,
10:23,PNB,
10:23,PNBHOUSING,
10:23,POLICYBZR,
10:23,POLYCAB,
10:23,POWERGRID,
10:23,POWERINDIA,
10:23,PPLPHARMA,
10:23,PREMIERENE,
10:23,PRESTIGE,
10:23,RBLBANK,
10:23,RECLTD,
10:23,RELIANCE,
10:23,RVNL,
10:23,SAIL,
10:23,SAMMAANCAP,
10:23,SBICARD,
10:23,SBILIFE,
10:23,SBIN,
10:23,SHREECEM,
10:23,SHRIRAMFIN,
10:23,SIEMENS,
10:23,SOLARINDS,
10:23,SONACOMS,
10:23,SRF,
10:23,SUNPHARMA,
10:23,SUPREMEIND,
10:23,SUZLON,
10:23,SWIGGY,
10:23,SYNGENE,
10:23,TATACONSUM,
10:23,TATAELXSI,
10:23,TATAPOWER,
10:23,TATASTEEL,
10:23,TATATECH,
10:23,TCS,
10:23,TECHM,
10:23,TIINDIA,
10:23,TITAN,
10:23,TORNTPHARM,
10:23,TORNTPOWER,
10:23,TRENT,
10:23,TVSMOTOR,
10:23,ULTRACEMCO,
10:23,UNIONBANK,
10:23,UNITDSPR,
10:23,UNOMINDA,
10:23,UPL,
10:23,VBL,
10:23,VEDL,
10:23,VOLTAS,
10:23,WAAREEENER,
10:23,WIPRO,
10:23,YESBANK,
10:23,ZYDUSLIFE,
10:24,360ONE,
10:24,ABB,
10:24,ABCAPITAL,
10:24,ADANIENSOL,
10:24,ADANIENT,
10:24,ADANIGREEN,
10:24,ADANIPORTS,
10:24,ALKEM,
10:24,AMBER,
10:24,AMBUJACEM,
10:24,ANGELONE,
10:24,APLAPOLLO,
10:24,APOLLOHOSP,
10:24,ASHOKLEY,
10:24,ASIANPAINT,
10:24,ASTRAL,
10:24,AUBANK,
10:24,AUROPHARMA,
10:24,AXISBANK,
10:24,BAJAJ-AUTO,
10:24,BAJAJFINSV,
10:24,BAJAJHLDNG,
10:24,BAJFINANCE,
10:24,BANDHANBNK,
10:24,BANKBARODA,
10:24,BANKINDIA,
10:24,BDL,
10:24,BEL,
10:24,BHARATFORG,
10:24,BHARTIARTL,
10:24,BHEL,
10:24,BIOCON,
10:24,BLUESTARCO,
10:24,BOSCHLTD,
10:24,BPCL,
10:24,BRITANNIA,
10:24,BSE,
10:24,CAMS,
10:24,CANBK,
10:24,CDSL,
10:24,CGPOWER,
10:24,CHOLAFIN,
10:24,CIPLA,
10:24,COALINDIA,
10:24,COFORGE,
10:24,COLPAL,
10:24,CONCOR,
10:24,CROMPTON,
10:24,CUMMINSIND,
10:24,DABUR,
10:24,DALBHARAT,
10:24,DELHIVERY,
10:24,DIVISLAB,
10:24,DIXON,
10:24,DLF,
10:24,DMART,
10:24,DRREDDY,
10:24,EICHERMOT,
10:24,ETERNAL,
10:24,EXIDEIND,
10:24,FEDERALBNK,
10:24,FORTIS,
10:24,GAIL,
10:24,GLENMARK,
10:24,GMRAIRPORT,
10:24,GODREJCP,
10:24,GODREJPROP,
10:24,GRASIM,
10:24,HAL,
10:24,HAVELLS,
10:24,HCLTECH,
10:24,HDFCAMC,
10:24,HDFCBANK,
10:24,HDFCLIFE,
10:24,HEROMOTOCO,
10:24,HINDALCO,
10:24,HINDPETRO,
10:24,HINDUNILVR,
10:24,HINDZINC,
10:24,HUDCO,
10:24,ICICIBANK,
10:24,ICICIGI,
10:24,ICICIPRULI,
10:24,IDEA,
